pmid,title,authors,journal,pub_date,pub_year,doi,abstract,mesh_terms,pub_type,likely_relevant
37034270,Compulsory insurance for cruise vessels as a preparation for the next pandemic: Law of the sea perspective.,Seta M,Marine policy,2023-Jun,2023,10.1016/j.marpol.2023.105586,"During the COVID-19 pandemic, many port states faced difficulty when cruise vessels with COVID-19 patients tried to dock at their ports. Although they are basically not obliged to accept such vessels under international law, they cannot easily deny access because the refusal would be viewed as a lack of humanitarian consideration. On the other hand, accepting such vessels leads to the risk of exposing their own nationals to COVID-19 and incurring the financial cost of medical treatment for cruise passengers. In fact, in the cases of Diamond Princess, Costa Atlantica, and Zaandam and Rotterdam, the question of who should take on the financial burden for medical costs of crews and passengers on board these vessels was debated. The current international legal framework does not provide any answer to this question, and therefore, a new framework is needed. If the new framework allocates the economic burden to ensure the provision of tests and medical care so that an intolerably heavy burden is not imposed on port states, they will be more welcoming to cruise vessels with infected people. Such allocation could be realized by requesting that carriers provide a compulsory insurance system for medical care in a pandemic.",,Journal Article,yes
36848870,"Extensive Spread of SARS-CoV-2 Delta Variant among Vaccinated Persons during 7-Day River Cruise, the Netherlands.",Veenstra T; van Schelven PD; Ten Have YM; Swaan CM; van den Akker WMR,Emerging infectious diseases,2023-Apr,2023,10.3201/eid2904.221433,"We investigated a large outbreak of SARS-CoV-2 infections among passengers and crew members (60 cases in 132 persons) on a cruise ship sailing for 7 days on rivers in the Netherlands. Whole-genome analyses suggested a single or limited number of viral introductions consistent with the epidemiologic course of infections. Although some precautionary measures were taken, no social distancing was exercised, and air circulation and ventilation were suboptimal. The most plausible explanation for introduction of the virus is by persons (crew members and 2 passengers) infected during a previous cruise, in which a case of COVID-19 had occurred. The crew was insufficiently prepared on how to handle the situation, and efforts to contact public health authorities was inadequate. We recommend installing clear handling protocols, direct contacts with public health organizations, training of crew members to recognize outbreaks, and awareness of air quality on river-cruise ships, as is customary for most seafaring cruises.",Humans; SARS-CoV-2; COVID-19; Netherlands; Rivers; Disease Outbreaks; Ships,Case Reports; Journal Article,yes
36405375,The impact of the COVID-19 outbreak on Japanese shipping industry: An event study approach.,Sakawa H; Watanabel N,Transport policy,2023-Jan,2023,10.1016/j.tranpol.2022.11.002,"This paper examines the stock market response of Japanese shipping firms on the COVID-19 outbreak. We adopt an event study method to investigate the announcement effect of COVID-19-related news such as the incident of largest numbers of cases in a cruise ship, the Princess Diamond on February 3, 2020 and the tight border closing by the Japanese Government on March 9, 2020. Our empirical results show that the negative abnormal returns are significant for both of these pessimistic COVID-19-related events. The negative return on the incident of Princess Diamond persisted for 30 trading days. Moreover, the negative abnormal return of port operations was stronger than maritime transportation after 30 days. Furthermore, we find that the tight border closing policy persisted for only eight trading days. Finally, we find that government policy responses are effective to mitigate negative announcement effects on COVID-related news post the tightened border control.",,Journal Article,yes
36288031,Transmission of SARS-CoV-2 Associated with Cruise Ship Travel: A Systematic Review.,Rosca EC; Heneghan C; Spencer EA; Brassey J; Plüddemann A et al.,Tropical medicine and infectious disease,2022-Oct,2022,10.3390/tropicalmed7100290,"Background: Maritime and river travel may be associated with respiratory viral spread via infected passengers and/or crew and potentially through other transmission routes. The transmission models of SARS-CoV-2 associated with cruise ship travel are based on transmission dynamics of other respiratory viruses. We aimed to provide a summary and evaluation of relevant data on SARS-CoV-2 transmission aboard cruise ships, report policy implications, and highlight research gaps. Methods: We searched four electronic databases (up to 26 May 2022) and included studies on SARS-CoV-2 transmission aboard cruise ships. The quality of the studies was assessed based on five criteria, and relevant findings were reported. Results: We included 23 papers on onboard SARS-CoV-2 transmission (with 15 reports on different aspects of the outbreak on Diamond Princess and nine reports on other international cruises), 2 environmental studies, and 1 systematic review. Three articles presented data on both international cruises and the Diamond Princess. The quality of evidence from most studies was low to very low. Index case definitions were heterogeneous. The proportion of traced contacts ranged from 0.19 to 100%. Studies that followed up >80% of passengers and crew reported attack rates (AR) up to 59%. The presence of a distinct dose−response relationship was demonstrated by findings of increased ARs in multi-person cabins. Two studies performed viral cultures with eight positive results. Genomic sequencing and phylogenetic analyses were performed in individuals from three cruises. Two environmental studies reported PCR-positive samples (cycle threshold range 26.21−39.00). In one study, no infectious virus was isolated from any of the 76 environmental samples. Conclusion: Our review suggests that crowding and multiple persons per cabin were associated with an increased risk of transmission on cruise ships. Variations in design, methodology, and case ascertainment limit comparisons across studies and quantification of transmission risk. Standardized guidelines for conducting and reporting studies on cruise ships of acute respiratory infection transmission should be developed.",,Journal Article; Review,yes
36194155,A major outbreak of the COVID-19 on the Diamond Princess cruise ship: Estimation of the basic reproduction number.,Chou YC; Lin YJ; Shie SS; Tsai HB; Sheng WH,Journal of the Chinese Medical Association : JCMA,2022-Dec,2022,10.1097/JCMA.0000000000000820,"The COVID-19 pandemic, which broke out in Wuhan, China, in 2019, was declared an international public health emergency by the World Health Organization on January 31, 2020. The outbreak on the Diamond Princess cruise ship had appeared first as a cluster infection outside China during the early pandemic. The incident occurred on February 1, 2020, involved an 80-year-old Hong Kong man who was diagnosed with COVID-19. The cruise ship docked in Yokohama, Japan, for 14 days of onboard quarantine; however, cluster infection outbroke rapidly. We constructed a SIR mathematical model and conducted an epidemiological study of the COVID-19 outbreak on the Diamond Princess cruise ship, covering the period from February 5 (start of quarantine) to February 20 (completion of 14-day quarantine). We estimated the basic reproduction number (R 0 ) using a novel method of nonlinear least-squares curve fitting under Microsoft Excel Solver. The 95% confidence interval (CI) values were estimated by the jackknife procedures. Six hundred thirty-four (17.1%) cases were diagnosed in a total population of 3711 cruise passengers, and 328 (51.7%) cases were asymptomatic. As of April 24, 2020, 712 cases had been diagnosed and 14 (1.96%) deaths had occurred. The R 0 with 95% CI of the COVID-19 outbreak was 3.04 (2.72-3.36). Without an evacuation plan for passengers and crew, we estimated the total number of cumulative cases would reach 3498 (CI, 3464-3541). If the R 0 value was reduced by 25% and 50%, the cumulative cases would be reduced to 3161 (CI, 3087-3254) and 967 (CI, 729-1379), respectively. The abovementioned R 0 value was estimated from the original Wuhan strain. Cruise conditions would accelerate the spread of infectious diseases and were not suitable for onboard quarantine. Early evacuation and isolation of all passengers and crew members would reduce the R 0 value and avoid further infections.","Male; Humans; Aged, 80 and over; Pandemics; COVID-19; Basic Reproduction Number; SARS-CoV-2; Quarantine; Disease Outbreaks",Journal Article,yes
36186155,COVID-19 outbreaks on ships: Analysis of three representative cases.,Zhang W; Xie J; Gong N; Chen X; Shi W,"Public health in practice (Oxford, England)",2022-Dec,2022,10.1016/j.puhip.2022.100320,"Coronavirus disease (COVID-19) outbreaks occurred on ships during the global pandemic of COVID-19. Investigation of the management and outcomes of these outbreaks will help guide future prevention and control strategies for respiratory infectious diseases on ships. Non-systematic narrative review. PubMed and Embase databases were searched using the keywords ""ship"", ""cargo ship"", ""fishing boat"", ""cruise ship"", ""yacht"", ""merchant ship"", ""port"", ""SARS-COV-2"" and ""COVID-19"", connected by ""OR"" internally and ""AND"" between two keywords. After review of the titles and abstracts, and exclusion of irrelevant articles, the infection situation and details of the response measures were recorded. Cases were subsequently selected for this study based on the detailed information and records available on the COVID-19 outbreak prevention and control measures and experiences. Three representative cases were selected; the outbreak timeline and infection situation for these cases were summarised. Infection prevention and control measures and experiences for the three outbreaks were investigated in detail, including analysis of epidemic reports, and isolation, detection, screening, treatment and transportation procedures. This study demonstrates that timely detection and intervention, exposure reduction, control of asymptomatic infections, treatment and transport of patients, preparation for prevention and control in advance, the communication and cooperation of various stakeholders, and the establishment of short-term and long-term response mechanisms are key elements to improve the efficiency of infection prevention and control on ships.",,Journal Article; Review,yes
36035872,Impacts of cruise ship anchoring during COVID-19: Management failures and lessons learnt.,Small M; Oxenford HA,Ocean & coastal management,2022-Oct,2022,10.1016/j.ocecoaman.2022.106332,"The Government of Barbados welcomed cruise ships during the early COVID-19 period of 2020, allowing them to seek safe harbour at a time when many countries were turning them away. A total of 28 cruise ships were given unprecedented permission to anchor along the west and south coasts of the island during this period (1 March – 1 September 2020). This study examines the 132 anchoring events of these cruise ships, using automatic identification system (AIS) data to determine anchored locations and track vessel swing at anchor in relation to sensitive coral-rich habitat. These data, together with SCUBA surveys on several anchoring sites were used to describe the nature of the habitat damage and to assess the potential area of impacts on coastal marine habitats. The huge anchors and hundreds of metres of chain required to secure these mega-vessels, together with their typical wide swinging motion dragging the anchor chain over the bottom are estimated to have caused thousands of square metres of structural damage to the island’s valuable coral reefs. This study revealed weaknesses in coral conservation policy and practise to which the Government of Barbados has responded. A stated new Government policy prohibits cruise ships from anchoring on the coral-rich west coast and restricts anchoring to the designated anchorage on the south coast. Additional cruise ships that cannot be accommodated in the anchorage are now being asked to use their dynamic positioning system or to drift offshore.",,Journal Article,yes
36032696,Mental health needs associated with COVID-19 on the diamond princess cruise ship: A case series recorded by the disaster psychiatric assistance team.,Tachikawa H; Kubo T; Gomei S; Takahashi S; Kawashima Y et al.,International journal of disaster risk reduction : IJDRR,2022-Oct,2022,10.1016/j.ijdrr.2022.103250,"Coronavirus disease 2019 (COVID-19) infection prevention measures have led to a variety of mental health issues. Although several self-care methods have been recommended for those quarantined, evidence regarding how best to support quarantined people experiencing a mental health crisis is limited. In February 2020, the Diamond Princess cruise ship was quarantined in Yokohama port, Japan following a passenger testing positive for COVID-19. We were sent to address the mental health issues as the Disaster Psychiatric Assistance Team (DPAT). In the present study, we examined the acute mental health needs of the passengers and crew collected by the DPAT using the standard Emergency Medical Team daily reporting system. We assessed 206 cases (99 men and 107 women) with generic health issues and 127 cases (39 men and 88 women) with mental health issues. Mental health issues including disaster stress-related symptoms were as frequent as physical health events associated with COVID-19. The most significant mental health issue was anxiety, as an acute psychological reaction to the quarantine situation. Women and crews most frequently needed mental health support. Mental health improved in most clients after brief counseling. Although several passengers experienced suicidal ideation, there were no cases of actual suicide attempts during the quarantine period. This case has been regarded as a well-known public health event at the beginning of the COVID-19 era. In addition to physical health support, disaster mental health support was essential to save lives. Our findings may facilitate responses to future quarantines, accidents, and mental health crises.",,Journal Article,yes
35942773,"Comparison of effectiveness of enhanced infection countermeasures in different scenarios, using a dynamic-spread-function model.",D'Souza G; Osborn J; Berman S; Myers M,Mathematical biosciences and engineering : MBE,2022-Jul,2022,10.3934/mbe.2022445,"When formulating countermeasures to epidemics such as those generated by COVID-19, estimates of the benefits of a given intervention for a specific population are highly beneficial to policy makers. A recently introduced tool, known as the ""dynamic-spread"" SIR model, can perform population-specific risk assessment. Behavior is quantified by the dynamic-spread function, which includes the mechanisms of droplet reduction using facemasks and transmission control due to social distancing. The spread function is calibrated using infection data from a previous wave of the infection, or other data felt to accurately represent the population behaviors. The model then computes the rate of spread of the infection for different hypothesized interventions, over the time window for the calibration data. The dynamic-spread model was used to assess the benefit of three enhanced intervention strategies - increased mask filtration efficiency, higher mask compliance, and elevated social distancing - in four COVID-19 scenarios occurring in 2020: the first wave (i.e. until the first peak in numbers of new infections) in New York City; the first wave in New York State; the spread aboard the Diamond Princess Cruise Liner; and the peak occurring after re-opening in Harris County, Texas. Differences in the efficacy of the same intervention in the different scenarios were estimated. As an example, when the average outward filtration efficiency for facemasks worn in New York City was increased from an assumed baseline of 67% to a hypothesized 90%, the calculated peak number of new infections per day decreased by 40%. For the same baseline and hypothesized filtration efficiencies aboard the Diamond Princess Cruise liner, the calculated peak number of new infections per day decreased by about 15%. An important factor contributing to the difference between the two scenarios is the lower mask compliance (derivable from the spread function) aboard the Diamond Princess.",COVID-19; Epidemics; Humans; Quarantine,Journal Article,yes
35840167,"The value of contact tracing and isolation in mitigation of COVID-19 epidemic: findings from outbreak investigation of COVID-19 onboard Nile Cruise Ship, Egypt, March 2020.",Hassan H; Abo ElSood H; Abd ElGawad B; Kamel R; Fahim M et al.,BMJ global health,2022-Jul,2022,10.1136/bmjgh-2022-008681,"WHO informed Egypt health authorities of individuals of different nationalities who proved positive for COVID-19 after returning from Egypt. Patients were among touristic group who visited Cairo and spent 1-week onboard Nile cruise ship. Investigation performed to confirm outbreak, detect source, and implement containment measures. Active case finding and contact tracing performed among contacts of the index cases and their contacts. Contacts defined as anyone within 6 feet from confirmed or suspected COVID-19 case for ≥15 min. Overall, 331 contacts, including 201 ship boarders and 130 hotel guests, were listed and interviewed using semistructured questionnaire and tested for COVID-19 by PCR. Among them, 136 (41.1%) were close contacts of index cases and 195 (58.9%) contacted secondary cases. Their mean age was 34.6±11.5 years, 251 (75.8%) were males and 126 (38.1%) non-Egyptians. Of them, 67 (20.2%) tested positive for COVID-19, including 57 (28.4%) ship boarders and 10 (7.7%) hotel guests. Per cent positive was significantly higher in: contacts of index cases, Egyptians, ship boarders and in males than corresponding categories (35.3% vs 9.7%, 22.9% vs 15.9%, 27.4% vs 7.7%, 24.7% vs 6.3%), respectively. Of all positive cases, 40 (59.7%) were asymptomatic where ship boarders, non-Egyptians, >50 years old and females were more likely to be asymptomatic than corresponding categories (85.0 vs 48.9%, 72.7 vs 54.5%, 100.0 vs 56.5%), respectively. COVID-19 patients among group of tourists triggered an outbreak onboard Nile ship and hotel in Egypt. Outbreak quickly contained through lab testing, case isolation, strict infection control measures and contact tracing which proved effective in reducing COVID-19 transmission early in pandemic.",Adult; COVID-19; Contact Tracing; Disease Outbreaks; Female; Humans; Male; Middle Aged; SARS-CoV-2; Ships; Young Adult,Journal Article,yes
35838954,Quantitative Real-Time RT-PCR Systems to Detect SARS-CoV-2.,Yanase S; Sasahara H; Nabetani M; Yamazawa K; Aoyagi K et al.,"Methods in molecular biology (Clifton, N.J.)",2022,2022,10.1007/978-1-0716-2395-4_7,"Since the outbreak of coronavirus disease 2019 (COVID-19) on the Diamond Princess cruise ship docked at Yokohama Port on February 3, 2020, real-time reverse transcription-polymerase chain reaction (RT-PCR) testing using nasopharyngeal swab samples from symptomatic and asymptomatic COVID-19 individuals has been the main way to detect severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) RNA in almost all clinical laboratories in Japan. With the diffusion of sets containing the primers and probe, the gold standard real-time RT-PCR test has permeated throughout the country. To prevent the spread of infection, real-time RT-PCR testing is important to confirm whether people are positive, asymptomatic, or negative for COVID-19. Now, in addition to pharyngeal swab, saliva and blood samples can be used to detect SARS-CoV-2 RNA. Here, we introduce a clinical laboratory test performed using the High Pure viral nucleic acid kit and subsequent real-time RT-PCR system to detect SARS-CoV-2 RNA in serum, plasma, or whole blood in a hospital in Yokohama, Japan.","COVID-19; Clinical Laboratory Techniques; Humans; RNA, Viral; Reverse Transcriptase Polymerase Chain Reaction; SARS-CoV-2",Journal Article,yes
35428829,An integrated expert weight determination method for design concept evaluation.,Chen Z; Zhong P; Liu M; Ma Q; Si G,Scientific reports,2022-Apr,2022,10.1038/s41598-022-10333-6,"Expert weight determination is a critical issue in the design concept evaluation process, especially for complex products. However, this phase is often ignored by most decision makers. For the evaluation of complex product design concepts, experts are selected by clusters with different backgrounds. This work proposes a novel integrated two-layer method to determine expert weight under these circumstances. In the first layer, a hybrid model integrated by the entropy weight model and the Multiplicative analytical hierarchy process method is presented. In the second layer, a minimized variance model is applied to reach a consensus. Then the final expert weight is determined by the results of both layers. A real-life example of cruise ship cabin design evaluation is implemented to demonstrate the proposed expert weight determination method. To analyze the feasibility of the proposed method, weight determination with and without using experts is compared. The result shows the expert weight determination method is an effective approach to improve the accuracy of design concept evaluation.",Consensus; Entropy; Research Design,"Journal Article; Research Support, Non-U.S. Gov't",yes
35427409,"Mosquito surveillance in maritime entry ports in Miami-Dade County, Florida to increase preparedness and allow the early detection of invasive mosquito species.",Wilke ABB; Vasquez C; Carvajal A; Moreno M; Petrie WD et al.,PloS one,2022,2022,10.1371/journal.pone.0267224,"Invasive mosquito vector species have been inadvertently transported to new areas by humans for decades. Strong evidence supports that monitoring maritime, terrestrial, and aerial points of entry is an essential part of the effort to curb the invasion and establishment of invasive vector mosquito species. Miami-Dade County, Florida is an important operational hub for the cruise ship industry and leisure boats that routinely visit nearby areas in the Caribbean, and freight cargo ships transporting goods from Miami-Dade to Caribbean countries and vice versa. To deal with the increasing public health concern, we hypothesized that mosquito surveillance in small- and medium-sized maritime ports of entry in Miami-Dade is crucial to allow the early detection of invasive mosquito species. Therefore, we have selected 12 small- and medium-sized maritime ports of entry in Miami-Dade County with an increased flow of people and commodities that were not covered by the current mosquito surveillance system. Collection sites were comprised of two distinct environments, four marinas with international traffic of leisure boats, and eight maintenance and commercial freight cargo ship ports. Mosquitoes were collected weekly at each of the 12 collection sites for 24 hours for 6 weeks in the Spring and then for 6 additional weeks in the Summer using BG-Sentinel traps. A total of 32,590 mosquitoes were collected, with Culex quinquefasciatus and Aedes aegypti being the most abundant species totaling 19,987 and 11,247 specimens collected, respectively. Our results show that important mosquito vector species were present in great numbers in all of the 12 maritime ports of entry surveyed during this study. The relative abundance of Cx. quinquefasciatus and Ae. aegypti was substantially higher in the commercial freight cargo ship ports than in the marinas. These results indicate that even though both areas are conducive for the proliferation of vector mosquitoes, the port area in the Miami River is especially suitable for the proliferation of vector mosquitoes. Therefore, this potentially allows the establishment of invasive mosquito species inadvertently brought in by cargo freights.",Aedes; Animals; Culex; Florida; Humans; Introduced Species; Mosquito Control; Mosquito Vectors,"Journal Article; Research Support, U.S. Gov't, P.H.S.",no
35280618,Transmission data of Covid 19- Lessons of diamond princess cruise ship event.,Gupta H; Patwa AK; Kumar S; Gupta A,Journal of family medicine and primary care,2021-Dec,2021,10.4103/jfmpc.jfmpc_1337_21,,,Journal Article,yes
35251738,"Lessons learnt from the first large outbreak of COVID-19 in health-care settings in Tasmania, Australia.",Johnston FH; Anderson T; Harlock M; Castree N; Parry L et al.,Western Pacific surveillance and response journal : WPSAR,2021,2021,10.5365/wpsar.2021.12.4.884,"One month after the initial case of coronavirus disease 2019 (COVID-19) in Tasmania, an island state of Australia, two health-care workers (HCWs) from a single regional hospital were notified to public health authorities following positive tests for SARS-CoV-2 nucleic acid. These were the first recognized cases in an outbreak that overwhelmed the hospital's ability to function. The outbreak originated from two index cases. Both had returned to Tasmania following travel on a cruise ship and required hospital admission for management of COVID-19. A total of 138 cases were subsequently linked to this outbreak: 81 HCWs (most being nurses) and 23 patients across three hospitals, one resident of an aged-care facility and 33 close contacts. The outbreak was controlled through the identification and isolation of cases, identification and quarantining of close contacts and their household members, closure of the affected facilities and community-level restrictions to reduce social mixing in the affected region. Factors that were likely to have contributed to ongoing transmission in this setting included workplace practices that prevented adequate physical distancing, attending work while symptomatic, challenges in rapidly identifying contacts, mobility of staff and patients between facilities, and challenges in the implementation of infection control practices. Many commonly accepted hospital practices before the COVID-19 pandemic amplified the outbreak. The lessons learnt from this investigation changed work practices for HCWs and led to wider public health interventions in the management of potential primary and secondary contacts.",Aged; Australia; COVID-19; Disease Outbreaks; Humans; Pandemics; SARS-CoV-2; Tasmania,Journal Article,yes
35189341,"Risk factors, immune response and whole-genome sequencing of SARS-CoV-2 in a cruise ship outbreak in Norway.",Gravningen K; Henriksen S; Hungnes O; Svendsen K; MacDonald E et al.,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2022-May,2022,10.1016/j.ijid.2022.02.025,"To improve understanding of SARS-CoV-2-transmission and prevention measures on cruise ships, we investigated a Norwegian cruise ship outbreak from July to August 2020 using a multidisciplinary approach after a rapid outbreak response launched by local and national health authorities. We conducted a cross-sectional study among crew members using epidemiologic data and results from SARS-CoV-2 polymerase chain reaction (PCR) of nasopharynx-oropharynx samples, antibody analyses of blood samples, and whole-genome sequencing. We included 114 multinational crew members (71% participation), median age 36 years, and 69% male. The attack rate was 33%; 32 of 37 outbreak cases were seropositive 5-10 days after PCR. One PCR-negative participant was seropositive, suggesting a previous infection. Network-analysis showed clusters based on common exposures, including embarkation date, nationality, sharing a cabin with an infected cabin-mate (adjusted odds ratio [AOR] 3.27; 95% confidence interval [CI] 0.97-11.07, p = 0.057), and specific workplaces (mechanical operations: 9.17 [1.82-45.78], catering: 6.11 [1.83-20.38]). Breaches in testing, quarantine, and isolation practices before/during expeditions were reported. Whole-genome sequencing revealed lineage B.1.36, previously identified in Asia. Despite extensive sequencing, the continued transmission of B.1.36 in Norway was not detected. Our findings confirm the high risk of SARS-CoV-2-transmission on cruise ships related to workplace and cabin type and show that continued community transmission after the outbreak could be stopped by implementing immediate infection control measures at the final destination.",Adult; COVID-19; Cross-Sectional Studies; Disease Outbreaks; Female; Humans; Immunity; Male; Risk Factors; SARS-CoV-2; Ships,Journal Article,yes
35056548,Unique Evolution of SARS-CoV-2 in the Second Large Cruise Ship Cluster in Japan.,Abe H; Ushijima Y; Amano M; Sakurai Y; Yoshikawa R et al.,Microorganisms,2022-Jan,2022,10.3390/microorganisms10010099,"In the initial phase of the novel coronavirus disease (COVID-19) pandemic, a large-scale cluster on the cruise ship Diamond Princess (DP) emerged in Japan. Genetic analysis of the DP strains has provided important information for elucidating the possible transmission process of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) on a cruise ship. However, genome-based analyses of SARS-CoV-2 detected in large-scale cruise ship clusters other than the DP cluster have rarely been reported. In the present study, whole-genome sequences of 94 SARS-CoV-2 strains detected in the second large cruise ship cluster, which emerged on the Costa Atlantica (CA) in Japan, were characterized to understand the evolution of the virus in a crowded and confined place. Phylogenetic and haplotype network analysis indicated that the CA strains were derived from a common ancestral strain introduced on the CA cruise ship and spread in a superspreading event-like manner, resulting in several mutations that might have affected viral characteristics, including the P681H substitution in the spike protein. Moreover, there were significant genetic distances between CA strains and other strains isolated in different environments, such as cities under lockdown. These results provide new insights into the unique evolution patterns of SARS-CoV-2 in the CA cruise ship cluster.",,Journal Article,yes
35018100,Stochasticity among Victims of COVID-19 Pandemic.,Shanmugam R; Ledlow G; Singh KP,Journal of multidisciplinary healthcare,2022,2022,10.2147/JMDH.S322637,"This article provides a thorough explanation of methods and theoretical concepts to detect infectivity of COVID-19. The concept of heterogeneity is discussed and its impacts on COVID-19 pandemics are explored. Observable heterogeneity is distinguished from non-observable heterogeneity. The data support the concepts of heterogeneity and the methods to extract and interpret the data evidence for the conclusions in this paper. Heterogeneity among the vulnerable to COVID-19 is a significant factor in the contagion of COVID-19, as demonstrated with incidence rates using data of a Diamond Princess cruise ship. Given the nature of the pandemic, its heterogeneity with different social norms, pre- and post-voyage quick testing procedures ought to become the new standard for cruise ship passengers and crew. With quick testing, identification of those infected and thus, not allowing to embark on a cruise or quarantine those disembarking, and other mitigation strategies, the popular cruise adventure could become norm for safe voyage. The novel method used in this article adds valuable insight in the modeling of disease and specifically, the COVID-19 virus.",,Journal Article,yes
34991781,"A review of COVID-19 transmission dynamics and clinical outcomes on cruise ships worldwide, January to October 2020.",Willebrand KS; Pischel L; Malik AA; Jenness SM; Omer SB,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2022-Jan,2022,10.2807/1560-7917.ES.2022.27.1.2002113,"BackgroundCruise ships provide an ideal setting for transmission of SARS-CoV-2, given the socially dense exposure environment.AimTo provide a comprehensive review of COVID-19 outbreaks on cruise ships.MethodsPubMed was searched for COVID-19 cases associated with cruise ships between January and October 2020. A list of cruise ships with COVID-19 was cross-referenced with the United States Centers for Disease Control and Prevention's list of cruise ships associated with a COVID-19 case within 14 days of disembarkation. News articles were also searched for epidemiological information. Narratives of COVID-19 outbreaks on ships with over 100 cases are presented.ResultsSeventy-nine ships and 104 unique voyages were associated with COVID-19 cases before 1 October 2020. Nineteen ships had more than one voyage with a case of COVID-19. The median number of cases per ship was three (interquartile range (IQR): 1-17.8), with two notable outliers: the Diamond Princess and the Ruby Princess, which had 712 and 907 cases, respectively. The median attack rate for COVID-19 was 0.2% (IQR: 0.03-1.5), although this distribution was right-skewed with a mean attack rate of 3.7%; 25.9% (27/104) of voyages had at least one COVID-19-associated death. Outbreaks involving only crew occurred later than outbreaks involving guests and crew.ConclusionsIn the absence of mitigation measures, COVID-19 can spread easily on cruise ships in a susceptible population because of the confined space and high-density contact networks. This environment can create superspreader events and facilitate international spread.","COVID-19; Centers for Disease Control and Prevention, U.S.; Disease Outbreaks; Humans; SARS-CoV-2; Ships; United States","Case Reports; Journal Article; Research Support, N.I.H., Extramural; Review",yes
34930077,"'COVID containers' in pandemic mediascapes: discursive economies of health, bodies, and race in North America.",Cal Biruk C,Anthropology & medicine,2022-Sep,2022,10.1080/13648470.2021.2012997,"Bringing an ethnographic sensibility to pandemic mediascapes, this article critically examines three media artifacts that assembled around COVID-19 - as an entity that is viral, social, and political - in the early months of the pandemic in North America. Focusing on the household, the cruise ship, and the body-with-underlying-conditions as 'COVID containers', the author argues that material and discursive responses to the pandemic, articulated through imaginaries of containers and containment, uphold notions of risk, order, and health that garner meaning through implied racial intertexts. The article analyzes COVID-19-related data, graphics, talk, and news stories to show how logics of inside/outside, safety/risk, and comfort/fear that animate efforts to contain a viral threat intensify the pathologization, harm, surveillance, and risk of groups long imagined as 'threats' to social order. Throughout, The author demonstrates how idioms of containers and containment make 'the body' a key locus of health, diverting attention from systems and histories complicit in producing ill-health. A coda reflects on Scheper-Hughes and Lock's influential essay ' The mindful body', re-reading their articulation of the 'Western body' through lenses drawn from scholarship in Black studies, queer studies, and disability studies that are central to understanding COVID-19 as relation(s) - borne from racial capitalism - that differentially distribute risk, health, and care.","Anthropology, Medical; COVID-19; Humans; North America; Pandemics; SARS-CoV-2",Journal Article,yes
34902585,Age dependence of the natural history of infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2): an analysis of Diamond Princess data.,Kobayashi T; Yoshii K; Linton NM; Suzuki M; Nishiura H,International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,2022-Feb,2022,10.1016/j.ijid.2021.12.319,"Following an outbreak of coronavirus disease 2019 (COVID-19) on the cruise ship Diamond Princess, passengers and crew were followed-up to determine prognosis. This study examined the epidemiological determinants of COVID-19 natural history using these follow-up data. Infection status, diagnosis, clinical symptoms and prognosis were analysed for all passengers and crew members on the Diamond Princess. In addition, the risk of infection associated with exposure within cabin rooms, as well as the risks of various clinical manifestations of disease, along with their epidemiological determinants, were analysed. The adjusted odds ratio (aOR) of infection for individuals tested by polymerase chain reaction on or after 12 February 2020 compared with individuals tested before this date was 0.53 [95% confidence interval (CI) 0.39-0.72], reflecting decreased transmission during onboard quarantine. Among infected individuals, older age was associated with elevated odds of symptomatic illness (aOR 1.01, 95% CI 1.00-1.02), severe disease (aOR 1.08, 95% CI 1.05-1.12) and death (aOR 1.12, 95% CI 1.05-1.21). Severe COVID-19 disease, death and symptomatic illness were more frequent among older individuals on the Diamond Princess. Older elderly cases (age ≥80 years) had the highest risks of severe disease and death. Inter-room transmission was prevented successfully by the onboard quarantine.","Aged; Aged, 80 and over; COVID-19; Disease Outbreaks; Humans; Quarantine; SARS-CoV-2; Ships",Journal Article,yes
