record_id,source_database,source_category,title,year,ship_name,pathogen,source_url,retrieval_date,language,screening_outcome
SR-0076,CDC VSP,official_public_health,Viking Star - Norovirus (2/7/2019-2/14/2019),2019,Viking Star,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0077,CDC VSP,official_public_health,Viking Sea - Norovirus (1/18/2019-1/28/2019),2019,Viking Sea,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0078,CDC VSP,official_public_health,Oasis of the Seas - Norovirus (1/6/2019-1/13/2019),2019,Oasis of the Seas,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0079,CDC VSP,official_public_health,Viking Star - Rotavirus (12/13/2018-1/3/2019),2018,Viking Star,Rotavirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0080,CDC VSP,official_public_health,Crystal Symphony - Norovirus (11/8/2018-12/2/2018),2018,Crystal Symphony,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0081,CDC VSP,official_public_health,Volendam - Norovirus (11/3/2018-11/18/2018),2018,Volendam,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0082,CDC VSP,official_public_health,Pearl Mist - Unknown (9/1/2018-9/12/2018),2018,Pearl Mist,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0083,CDC VSP,official_public_health,Seven Seas Mariner - Unknown (6/20/2018-6/30/2018),2018,Seven Seas Mariner,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0084,CDC VSP,official_public_health,Zaandam - Unknown (6/18/2018-7/2/2018),2018,Zaandam,Unknown,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0085,CDC VSP,official_public_health,Silver Shadow - Norovirus (5/10/2018-5/24/2018),2018,Silver Shadow,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
SR-0086,CDC VSP,official_public_health,Celebrity Infinity - Norovirus (4/17/2018-5/2/2018),2018,Celebrity Infinity,Norovirus,https://www.cdc.gov/vessel-sanitation/cruise-ship-outbreaks/index.html,2026-05-14,en,included
